"Payment for order: #%1", "Payment for order: #%1"
"Refund for order: #%1", "Refund for order: #%1"
", Shift4 invoice: %1", ", Shift4 invoice: %1"
"Invalid endpoint.", "Blogas API adresas."
"Server error: %1", "Serverio klaida: %1"
"ERROR -> 403 Forbidden", "KLAIDA -> 403 Forbidden"
"ERROR -> 400 Bad Request", "KLAIDA -> 400 Bad Request"
"ERROR -> 404 Not Found", "KLAIDA -> 404 Not Found"
"ERROR -> 500 Internal Server Error", "KLAIDA -> 500 Internal Server Error"
"ERROR -> 503 Service Unavailable", "KLAIDA -> 503 Service Unavailable"
"ERROR -> 504 Timed Out", "KLAIDA -> 504 Timed Out"
"Request Error", "Užklausos klaida"
"%1 Error: %2", "%1 Klaida: %2"
"Error", "Klaida"
"The transaction is declined.", "Transakcija atšaukta."
"Error response", "Klaida"
"An AVS or CSC failure has occurred.", "AVS ar CSC Klaida."
"Partial response", "Dalinis atsakymas"
"The transaction requires a voice referral.", "Transakcija reikalauja patvirtinimo."
"Approval status is unknown.", "Nežinomas patvirtinimo statusas."
"Error getting i4Go TrueToken.", "Klaida gaunant i4Go TrueToken."
"Wrong i4Go TrueToken.", "Blogas i4Go TrueToken."
"%1 not voided. Error: %2", "Transakcija Nr %1 Nepanaikinta. Klaida: %2"
"Invoice not found.", "Sąskaita nerasta."
"A partial payment for $%1 for this order has been made. Please pay the remaining amount ($%2) or cancel partial payments.", "Užsakymui atliktas dalinis apmokėjimas už $%1 . Prašome sumokėti likusią sumą ($%2) ar atšaukti dalinius mokėjimus."
"My saved cards:", "Išsaugotos mokėjimo kortelės:"
"Save this card for future use?", "Išsaugoti kortelę."
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.", "Ar tikrai atšaukti atliktus mokėjimus? Paspaudus OK visi mokėjimai bus atšaukti. Paspaudus Cancel galite įvesti kitos kortelės duomenis ir pabaigti atlikti savo mokėjimą."
"The available amount on your card has been authorized for use, but it is insufficient to complete your purchase. To complete your purchase, click OK and enter an additional card. To cancel your purchase, click Cancel.", "The available amount on your card has been authorized for use, but it is insufficient to complete your purchase. To complete your purchase, click OK and enter an additional card. To cancel your purchase, click Cancel."
"All partial authorizations have been voided.", "Visi mokėjimai atšaukti."
"Card Type", "Kortelės tipas"
"Card Number", "Kortelės numeris"
"Processed Amount", "Nuskaityta suma"
"Shift4 Invoice ID", "Shift4 Transakcijos ID"
"Authorization Code", "Autorizacijos kodas"
"Cancel", "Atšaukti"
"Transaction Type:", "Transakcijos Tipas:"
"Updated", "Atnaujinta"
"Transaction", "Transakcija"
"To cancel your %1, click Cancel.", "Atšaukti tavo %1, spausk Atšaukti."
"payment", "mokėjimas"
"payments", "mokėjimai"
"Amount Remaining: $%1", "Likusi suma: $%1"
"Please secure payment information via i4Go iframe.", "Prašome apsaugoti savo kortelės duomenis su i4Go iframe."
"Please go back to Billing Information.", "Prašome grįžti į Billing Information."
"The Auth Token you entered is not valid. Please try again.", "Įvestas Auth Token neteisingas. Prašome pabandyti dar kartą."
"Error generating Access Token.", "Klaida generuojant Access Token."
"My saved credit and debit cards", "Išsaugotos kreditinės ir debitinės kortelės"
"My saved gift cards", "Mano išsaugotos dovanų kortelės"
"New card", "Nauja kortelė"
"Delete", "Panaikinti"
"You cannot use another payment method for the remaining amount.", "Jūs negalite naudoti kito apmokėjimo būdo likusiai sumai."
"Please cancel all partial payments before using store credits, gift cards or discount codes.", "Prašome atšaukti visus dalinius apmokėjimus prieš naudojantis store credits, gift cards or discount codes."
"Expiration Date", "Galiojimo data"
"Are you sure, want to delete this card?", "Ar norite panaikinti šią kortelę?"
"No saved cards", "Išsaugotų kortelių nėra"
"Order", "Užsakymas"
"Order Details", "Užsakymo informacija"
"Phone", "Telefonas"
"Fax", "Faksas"
"Show Report", "Rodyti reportą"
"Filter", "Filtruoti"
"Filter By", "Filtruoti pagal"
"Transaction Date", "Transakcijos datą"
"Order Date", "Užsakymo datą"
"Shipping Date", "Siuntimo datą"
"Timeout Date", "Timeout datą"
"From", "Nuo"
"To", "Iki",
"Transaction Types", "Transakcijų tipai"
"Refund", "Refund",
"Authorization", "Authorization",
"Sale", "Sale"
"Capture", "Capture"
"Invoice", "Invoice"
"Updates", "Updates"
"Void", "Void"
"Transaction Status", "Transakcijos statusas"
"Timedout", "Timedout"
"Voided", "Voided"
"Order Status", "Užsakymo Statusas"
"Any", "Bet kuris"
"Specified", "Nurodytas"
"Applies to Any of the Specified Order Statuses", "Applies to Any of the Specified Order Statuses"
"records found", "records found"
"Order Id", "Order Id"
"Order Status", "Order Status"
"Transaction Type", "Transaction Type"
"Shift4 Invoice ID", "Shift4 Invoice ID"
"Card Type<br>and Number", "Card Type<br>and Number"
"Amount<br>Requested", "Amount<br>Requested"
"Amount<br>Processed", "Amount<br>Processed"
"Transaction status", "Transaction status"
"Customer", "Customer"
"Transaction Log", "Transaction Log"
"We couldn't find any records.", "We couldn't find any records."
"Success", "Success"
"Download", "Download"
"Download All Logs", "Download All Logs"
